No.,Bagian ,Waktu Pengukuran,Shift,Kebisingan (L),Keterangan,Waktu max terpapar (Ti) (jam),Waktu bekerja tanpa istirahat (C),Dosis kebisingan (D),DND (%)
1,Fuel & Ash  Operator ,23.45-08.25,3,79.5,dibawah NAB,28.51,8.67,0.30,30.41
2,Fuel & Ash  Operator ,07.40-15.00,1,79.1,dibawah NAB,31.27,7.33,0.23,23.44
3,Fuel & Ash  Operator ,15.50-23.00,2,84.7,dibawah NAB,8.57,7.17,0.84,83.62
4,Fuel & Ash  Operator ,23.05-07.38,3,81.5,dibawah NAB,17.96,8.55,0.48,47.61
5,Fuel & Ash  Operator ,08.40-14.29,0,70.3,dibawah NAB,238.86,5.82,0.02,2.44
6,Fuel & Ash  Operator ,15.54-23.20,2,71.9,dibawah NAB,165.04,7.43,0.05,4.50
7,Fuel & Ash  Operator ,15.44-20.16,2,79.8,dibawah NAB,26.60,4.53,0.17,17.03
8,Fuel & Ash  Operator ,23.25-08.21,3,84.1,dibawah NAB,9.85,8.93,0.91,90.67
9,Fuel & Ash  Operator ,08.31-15.51,0,81.1,dibawah NAB,19.70,7.33,0.37,37.21
10,Fuel & Ash  Operator ,23.14-07.00,3,77.5,dibawah NAB,45.25,7.77,0.17,17.17
11,Fuel & Ash  Operator ,08.30-15.30,0,74.2,dibawah NAB,97.01,7.00,0.07,7.22
12,Maintenance ,07.40-16.00,1,74.6,dibawah NAB,88.44,8.33,0.09,9.42
13,Maintenance ,07.45-15.50,1,73.9,dibawah NAB,103.97,8.08,0.08,7.77
14,Maintenance ,07.55-15.20,1,93.1,diatas NAB,1.23,7.42,6.03,602.69
15,Maintenance ,09.40-16.01,1,84.8,dibawah NAB,8.38,6.35,0.76,75.79
16,Maintenance ,07.57-16.15,1,85.1,diatas NAB,7.82,8.30,1.06,106.18
17,Maintenance ,08.24-15.24,0,75.8,dibawah NAB,67.03,7.00,0.10,10.44
18,Maintenance ,08.13-16.05,0,84.9,dibawah NAB,8.19,7.87,0.96,96.13
19,Maintenance ,08.22-15.04,0,83.8,dibawah NAB,10.56,6.70,0.63,63.47
20,Maintenance ,16.00-23.08,2,79.8,dibawah NAB,26.60,7.13,0.27,26.80
21,Maintenance ,07.50-16.00,0,87.6,diatas NAB,4.39,8.17,1.86,186.22
22,Maintenance ,07.49-15.30,0,88.7,diatas NAB,3.40,7.68,2.26,225.71
23,Maintenance ,07.50-15.30,0,87.8,diatas NAB,4.19,7.67,1.83,183.09
24,Production Operator  Turbin,15.09-23.46,2,88.5,diatas NAB,3.56,8.62,2.42,241.89
25,Production Operator  Turbin,16.13-00.10,2,73.4,dibawah NAB,116.70,7.95,0.07,6.81
26,Production Operator  Turbin,23.48-07.00,3,86.3,diatas NAB,5.92,7.20,1.22,121.53
27,Production Operator  Turbin,00.13-07.00,3,84.3,dibawah NAB,9.40,6.78,0.72,72.09
28,Production Operator  Turbin,07.30-16.00,1,87.1,diatas NAB,4.92,8.50,1.73,172.60
29,Production Operator  Turbin,07.30-15.00,1,76.3,dibawah NAB,59.71,7.50,0.13,12.56
30,Production Operator Boiler,23.10-07.35,3,69.7,dibawah NAB,274.37,8.42,0.03,3.07
31,Production Operator Boiler,07.25-15.00,1,57.8,dibawah NAB,4289.72,7.58,0.00,0.18
32,Production Operator Boiler,15.15-22.35,2,57.6,dibawah NAB,4492.60,7.33,0.00,0.16
33,Production Operator Boiler,23.20-07.00,3,55.8,dibawah NAB,6809.50,7.67,0.00,0.11
34,Production Operator Boiler,07.55-15.00,1,61.5,dibawah NAB,1824.56,7.08,0.00,0.39
35,Production Operator Boiler,16.35-23.00,2,58.9,dibawah NAB,3326.99,6.42,0.00,0.19
36,Production Operator Boiler,23.29-07.21,3,88.5,diatas NAB,3.56,7.87,2.21,220.84
37,Production Operator Boiler,07.23-14.56,1,84.6,dibawah NAB,8.77,7.55,0.86,86.04
38,Production Operator Boiler,15.33-23.00,2,82.5,dibawah NAB,14.25,7.45,0.52,52.26
39,Production Operator Boiler,15.54-07.38,2,87,diatas NAB,5.04,15.73,3.12,312.12
40,Production Operator Boiler,07.42-15.37,1,82.5,dibawah NAB,14.25,7.92,0.56,55.56
41,Production Operator Boiler,15.38-21.38,2,81,dibawah NAB,20.16,6.00,0.30,29.76
42,Production Operator Boiler,15.18-22.51,2,83.9,dibawah NAB,10.31,7.55,0.73,73.19
43,Production Operator Boiler,22.58-07.02,3,75.5,dibawah NAB,71.84,8.07,0.11,11.23
44,Production Operator Boiler,07.23-14.37,1,86.4,diatas NAB,5.79,7.23,1.25,124.89
45,Production Operator Boiler,15.40-23.12,2,89.6,diatas NAB,2.76,7.53,2.72,272.45
46,Production Operator Boiler,23.16-07.50,3,85.1,diatas NAB,7.82,8.57,1.10,109.63
47,Production Operator Boiler,08.14-14.44,0,84.5,dibawah NAB,8.98,6.50,0.72,72.39